metric_id,metric_name,category,definition,source,priority,aliases,status
closing_costs,Closing Costs,Investment Basis,"Transfer tax, legal, due diligence, title, etc.",Acquisition Model / Closing Docs; Business Plan / Budget,High,['Closing Costs'],missing
total_acquisition_cost_all_in_basis,Total Acquisition Cost / All-in Basis,Investment Basis,True entry cost before operations,Acquisition Model / Closing Docs; Business Plan / Budget,High,"['Total Acquisition Cost / All-in Basis', 'All-in Basis', 'Total Basis', 'Acquisition Basis', 'Total Acquisition Cost', 'Basis', 'Cost Basis']",missing
initial_capex_budget,Initial CapEx Budget,Investment Basis,Planned improvement spend at acquisition,Acquisition Model / Closing Docs; Business Plan / Budget; CapEx Tracker,High,"['Initial CapEx Budget', 'CapEx', 'Capital Expenditure', 'Capital Costs', 'Capital Allocation']",missing
total_project_cost,Total Project Cost,Investment Basis,Full cost to execute business plan,Acquisition Model / Closing Docs; Business Plan / Budget; CapEx Tracker,High,['Total Project Cost'],missing
equity_invested,Equity Invested,Investment Basis,Cash capital contributed,Acquisition Model / Closing Docs; Business Plan / Budget,High,['Equity Invested'],missing
basis_per_sf_per_unit_per_key,Basis per SF / per Unit / per Key,Investment Basis,Cost normalized for comparability,Acquisition Model / Closing Docs; Business Plan / Budget,High,"['Basis per SF / per Unit / per Key', 'Basis per SF', 'per Unit', 'per Key', 'Basis', 'Total Basis', 'Cost Basis']",missing
basis_vs_market_replacement_cost,Basis vs Market Replacement Cost,Investment Basis,Whether basis is below/above replacement,Acquisition Model / Closing Docs; Business Plan / Budget,High,"['Basis vs Market Replacement Cost', 'Basis', 'Total Basis', 'Cost Basis']",missing
going_in_cap_rate,Going-in Cap Rate,Investment Basis,Yield at entry on in-place NOI,Acquisition Model / Closing Docs; Business Plan / Budget,High,"['Going-in Cap Rate', 'Capitalization Rate', 'Exit Cap Rate', 'Cap Rate']",missing
yield_on_cost,Yield on Cost,Investment Basis,Stabilized return on total cost,Acquisition Model / Closing Docs; Business Plan / Budget,High,['Yield on Cost'],missing
mark_to_market_basis_gap,Mark-to-Market Basis Gap,Investment Basis,Difference between actual basis and current market value,Acquisition Model / Closing Docs; Business Plan / Budget,High,"['Mark-to-Market Basis Gap', 'Basis', 'Total Basis', 'Cost Basis']",missing
potential_gross_revenue_pgr_potential_gross_income_pgi,Potential Gross Revenue (PGR) / Potential Gross Income (PGI),Operating Performance,Revenue if all space were leased at scheduled rent plus recoveries and other ...,Financial Statement / GL,High,"['Potential Gross Revenue (PGR) / Potential Gross Income (PGI)', 'Potential Gross Revenue / Potential Gross Income', 'Potential Gross Revenue (PGR)', 'Potential Gross Income (PGI)', 'Revenue', 'Total Revenue', 'Total Operating Revenue', 'Effective Gross Revenue', 'EGI']",missing
vacancy_loss,Vacancy Loss,Operating Performance,Revenue lost from vacant space,Financial Statement / GL,Medium,['Vacancy Loss'],missing
credit_loss_bad_debt,Credit Loss / Bad Debt,Operating Performance,Revenue billed but not collected,Financial Statement / GL; Loan / Debt Docs,Medium,"['Credit Loss / Bad Debt', 'Credit Loss', 'Bad Debt']",missing
effective_gross_revenue_egi,Effective Gross Revenue / EGI,Operating Performance,Revenue actually expected to be collected,Financial Statement / GL,High,"['Effective Gross Revenue / EGI', 'EGR', 'Effective Gross Income', 'Total Operating Revenue', 'Effective Gross Revenue', 'EGI', 'Revenue', 'Total Revenue']",missing
recoveries_cam_reimbursement,Recoveries / CAM Reimbursement,Operating Performance,Amount reimbursed by tenants,Financial Statement / GL,Medium,"['Recoveries / CAM Reimbursement', 'Recoveries', 'CAM Reimbursement']",missing
net_operating_income_noi,Net Operating Income (NOI),Operating Performance,Core operating earnings before capex and debt,Financial Statement / GL,High,"['Net Operating Income (NOI)', 'NOI', 'Net Operating Income']",missing
noi_margin,NOI Margin,Operating Performance,Efficiency of operations,Source File,High,"['NOI Margin', 'NOI', 'Net Operating Income']",missing
leasing_costs,Leasing Costs,Operating Performance,Tenant improvements + leasing commissions + legal for leases,Financial Statement / GL; Rent Roll / Lease Data,Medium,['Leasing Costs'],missing
capital_expenditures,Capital Expenditures,Operating Performance,Non-recurring or strategic capital spend,Financial Statement / GL; CapEx Tracker,Low,"['Capital Expenditures', 'CapEx', 'Capital Expenditure', 'Capital Costs', 'Capital Allocation']",missing
free_cash_flow_before_debt_service,Free Cash Flow Before Debt Service,Operating Performance,Cash available before financing,Financial Statement / GL; Loan / Debt Docs,High,"['Free Cash Flow Before Debt Service', 'Debt Service', 'Debt Payment', 'Loan Payment']",missing
cash_flow_after_debt_service,Cash Flow After Debt Service,Operating Performance,Residual cash after financing costs,Financial Statement / GL; Loan / Debt Docs,High,"['Cash Flow After Debt Service', 'Debt Service', 'Debt Payment', 'Loan Payment']",missing
cash_available_for_distribution,Cash Available for Distribution,Operating Performance,True distributable cash,Financial Statement / GL,Low,['Cash Available for Distribution'],missing
noi_growth,NOI Growth,Operating Performance,Change in NOI over time,Source File,High,"['NOI Growth', 'NOI', 'Net Operating Income']",missing
same_store_noi_growth,Same-Store NOI Growth,Operating Performance,Growth excluding acquisitions/dispositions/development disruptions,Source File,High,"['Same-Store NOI Growth', 'NOI', 'Net Operating Income']",missing
physical_occupancy,Physical Occupancy,Leasing & Income Durability,Space occupied,Business Plan / Budget; Rent Roll / Lease Data,High,"['Physical Occupancy', 'Occupancy', 'Occupied %', 'Economic Occupancy', 'Occupied', 'Vacancy']",missing
economic_occupancy,Economic Occupancy,Leasing & Income Durability,Revenue occupancy,Business Plan / Budget; Rent Roll / Lease Data,High,"['Economic Occupancy', 'Occupancy', 'Occupied %', 'Physical Occupancy', 'Occupied', 'Vacancy']",missing
